;link;hasil;sentiment
0;https://www.instagram.com/p/CELtE7SHVZf/;cinta   mata   heran  cinta    air mata anjimmmmc pararunten  bidaaaan amazing photo camera  flash face  open mouth camera  flash  benci pikiran ku;0
1;https://www.instagram.com/p/CopdT8YL1ai/;street photography  finale part nsupport editing adobe lightroom camera photo  round pushpin location     nshot  camera canon eos ninspired ldea healing street photography meike;0
2;https://www.instagram.com/p/CbCOOTLpoYH/;selamat  pekan   ayang;2
4;https://www.instagram.com/p/Cs7_XrmO358/;persistent goes  ;1
5;https://www.instagram.com/p/CG877Y9BuI4/;halo nlong weekend kali   pergi    nkalau   bingung  banget loh pergi berwisata         ning anita  ning ike grinning face  big eyes nseperti  sih serunya langsung  tonton video   smiling face  hearts iwd clapping hands bilik steril  isinya ananda   kenangan mu   akses nang  dalane pasan  dilebarkan bagus idenya     disosialkan  masyarakat  mjd alternatif  kunjungan disaat senggang    mall salah  penjaga parkir  ;0
7;https://www.instagram.com/p/CrFF9QGpL4s/;face without mouth  fog sparkles send pic  backhand index pointing right world travel ig send pic backhand index pointing right backhand index pointing right travel photography;2
8;https://www.instagram.com/p/CIdMqLdJHSE/;maaf  salah ketik grinning face  smiling eyes bagus neng smiling face  smiling eyes thumbs ;2
9;https://www.instagram.com/p/CtOoHjIrzrm/; coffe talk menilik rehabilitasi  restorasi   perubahan iklim nkegiatan  hadiri  wku kadin  bidang kelautan  perikana joseph pangalila  perwakilan lembaga organisasi  korporasi  peduli  kelestatian lingkungan hidup;2
11;https://www.instagram.com/p/CtJnl2IS3ME/;ntetangga  namanya rahmat npunya istri namanya cua nkakek cerita  semangat ngigi palsunya copot  cat  tears  joy sweeet komentar new post red heart fire   auto back smiling face  heart eyes spamlike back  cuman hasthag red heart face  tears  joy     rahmat   kakek kakek  konsepnya  komentar new post  ;2
12;https://www.instagram.com/p/CtBE0tZrmGe/; cobaan    proses pendewasaan  black heart nhappy weekend red heart  fire;0
14;https://www.instagram.com/p/CseRcB5P2tt/;belajar matematika  alam;1
15;https://www.instagram.com/p/CsXZ53jhXx7/;tanggal merah enaknya jalan jalan  thinking face nnih  warga      jalan jalan   wisata  bareng doi sahabat  keluarga nmana   favoritmu nshare  kolom komentar ayo beaming face  smiling eyes backhand index pointing ;1
16;https://www.instagram.com/p/CsRN7trxF8v/;salah  penghuni   ;0
17;https://www.instagram.com/p/CsFh9RtJE2W/;chita fire info booking  arrow  arrow  arrow  barat  tattoo studio reservasi fast restpons free consults nartist tattooer check mark  request custom design suka suka  check mark  pilihan smalls tiny tattoo  check mark bebas      takut smiling face  heart eyes check mark start minim price   loh check mark studio  private room check mark fast respont friendly pastinya;2
18;https://www.instagram.com/p/Cr8Apw1vkXQ/;kadang  menjalani hidup   sesuai logika smiling face  open hands smiling face  open hands;2
19;https://www.instagram.com/p/Cr7tUD_Phf7/;hunting foto lageee sparkles   masyaallah mode ukhtiiii smiling face  heart eyes smiling face  hearts masyaallah cantiknya kakak smiling face  heart eyes smiling face  heart eyes;2
20;https://www.instagram.com/p/CrzoE_ah2OA/;late post face  hand  mouth;0
21;https://www.instagram.com/p/CrzoEVFBBcV/;late post face  hand  mouth;0
22;https://www.instagram.com/p/CrpmAmqrLfm/;kasih caption ;0
23;https://www.instagram.com/p/Crpll4rLsBh/;belajar menerima   membenci kenyataan fire;2
24;https://www.instagram.com/p/CriKwJ1LSCl/;;1
25;https://www.instagram.com/p/CrdfBh_PBaR/;sparkles fallen leaf easternmangroves;1
27;https://www.instagram.com/p/Cq4-4nmreYb/;    mangroves   sea    meaning  like tree   roots   mangroves   roots   sea;1
29;https://www.instagram.com/p/Cq2HOtcIj58/;scale model demonstrating   forests protect  coast  wave damage;2
30;https://www.instagram.com/p/CqM1_a9LZuo/;prewedding  miya nfg photo;0
31;https://www.instagram.com/p/CqM1gFbLtM5/;prewedding  miya nfg photo;0
32;https://www.instagram.com/p/CqM1rbErP1m/;prewedding  miya nfg photo;0
34;https://www.instagram.com/p/Cp9P-bgJnTC/;face  rolling eyes cross mark cross mark cross mark check mark  grinning face  sweat victory hand light skin tone  winking face backhand index pointing right records send  dm us backhand index pointing right lovers ig dizzy;2
36;https://www.instagram.com/p/CppgahNv_Oa/;wiken vakansi sailing bagus fotonya;1
38;https://www.instagram.com/p/CpfxifKvi4l/;mangroves click nest  love  feed dm us  feature camera  flash red heart;2
39;https://www.instagram.com/p/CpZ_O4Cr5JG/;   friends remarkable nimage  would certainly like  deal    nmuch  info message  major account   nbio wih dadih arek seleb saiki rehh raising hands;2
41;https://www.instagram.com/p/CpXaoe-hn6Z/;seleranya    centi rolling   floor laughing zany face mending    sudah beaming face  smiling eyes thumbs ;2
44;https://www.instagram.com/p/Co9pAdFBKTO/;;1
45;https://www.instagram.com/p/Co4zfrMvwLn/;saribuahmangrove;1
46;https://www.instagram.com/p/CoyZHlRS9jw/;   pushpin nfujifilm camera  flash nindonesian country  npresent lightroom dizzy send pic  backhand index pointing right hubungan;2
52;https://www.instagram.com/p/CntSCwwP3Nr/;selamat   imlek gong xi fa cai red paper lantern red paper lantern red paper lantern;2
